sample_id,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter_hominis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_parvum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter_vaginalis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa_group,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_avidum,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_magna,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_HMSC067H01,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis
S2_001_006W1,69.37455,28.36533,0.7604,0.68631,0.39746,0.30188,0.11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_006Y1,99.95611,0.01587,0,0,0,0,0,0.02802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_010G1,94.49785,0,0.00164,0,0.30508,0,0,0,5.134,0.06142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_011G1,99.70376,0,0,0,0.25622,0,0,0,0.03546,0.00456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_012G1,99.58958,0,0.00923,0,0.38989,0,0,0,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_013G1,96.51959,0,0,0,1.69539,0,0,0,0.01961,0.00632,1.75909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_014G1,90.29292,0,0,0,2.7502,0,0,0,6.32288,0.02437,0.60962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_015G1,83.00259,0,0,0,4.18418,0,0,0,12.20176,0.00298,0.60848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_016G1,77.66958,0,0,0,13.96425,0,0,0,7.73666,0.01483,0.61468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_017G1,78.8567,0,0,0,7.88015,0,0,0,12.22554,0.02106,1.01656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_018G1,61.87672,0,0.00118,0,6.69691,0,0,0,30.62411,0.03875,0.76233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_019G1,81.6226,0,0,0,10.12418,0,0,0,6.75368,0.0475,1.45204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_020G1,76.69517,0,0,0,4.36532,0,0,0,18.08884,0.04189,0.80877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_021G1,93.0563,0,0,0,3.74155,0,0,0,2.29851,0.03013,0.85648,0.01702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023G1,72.43154,0,0,0,8.91302,0,0,0,17.54936,0.03014,1.03644,0,0.01296,0.01249,0.01157,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023W1,50.51136,11.73725,0,34.72987,0.77795,0.54592,0,0,0,0,0,0.19841,0,0,0,0,1.46977,0.02687,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_023Y1,96.65696,0.14683,0,6.9e-4,0.09661,0,0,0,0,0,0,2.32761,0,0,0,0,0.7713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_024G1,81.56288,0,0,0,13.08737,0,0,0,4.04093,0.00322,1.24702,0,0.0407,0.01789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_025G1,75.07582,0,0,0,4.23784,0,0,0,12.59209,0,0.87588,0,0.00179,0.01216,6.18404,0,0,0,0,0.87078,0.14961,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_026G1,71.67775,0,0,0,11.57931,0,0,0,12.3067,0,1.02084,0.03873,0.02047,0.01777,2.93895,0,0,0,0,0.34603,0.05344,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_001_027G1,46.96419,0,0,0,9.69951,0,0,0,16.89805,0,1.84001,0,0.00554,0.02678,21.40751,0,0,0,0,2.66665,0.49175,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_005G1,0.01988,0,0,0,2.91832,0,0,3.28041,0,0,0,0,93.76384,0.00563,0.00202,0,0,0,0,0,0,0.00989,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_006G1,0.04632,0.16871,0,0,1.32253,0,0,1.67769,0.00338,0,0,0,96.72375,0.03663,0.01768,0,0,0,0,0.00331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_007G1,0.48352,0,0,0,0,0,0,0.09757,0.10352,0,0,0,0.80647,39.84819,44.96468,0,0,0,0,9.08879,4.60726,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_005_008G1,0.07835,0,0,0,0,0,0,0.00358,0.00182,0,0,0,0.12091,39.75221,46.07901,0,0,0,0,9.79195,4.17217,0,0,0,0,0,0,0,0,0,0,0,0,0
