User,Original Size (bytes),Privatized Size (bytes),Compression Ratio
S12 POSTEST 1,278334,731263074,2627.2862
S02 post,329846,902396090,2735.8103
S19 POST PARTE1,400512,1035824292,2586.2503
S01post,600000,1655160132,2758.6002
S14 POST PARTE 1,337464,866003388,2566.2097
s25 post parte1,470656,1217234212,2586.2503
S07 POST PARTE1,948608,2453337572,2586.2501
S09 POST PARTE 1,761229,1953473073,2566.2095
s21 post1,370026,1004026254,2713.3938
S23 POST 1,800484,2154375912,2691.3416
S11 POST,378004,1034147224,2735.8103
s13 post parte,511937,1334418341,2606.6066
S04Post,467640,1290031836,2758.6003
S05 post parte 1,642420,1648584312,2566.2095
S06 DIA 2 PARTE 1,541840,1379783188,2546.4772
S08 POST PARTE 1,362361,929894301,2566.2097
S24 POST PARTE1,295552,764371492,2586.2504
s18 post parte1,177024,457828452,2586.2507
S16 POST PARTE 1,586305,1504581477,2566.2095
S03 Post,485815,1329097627,2735.8102
