block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
UCBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
UCBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
UCBlock,TimeHorizon,Dimension,Dimension,int,-,-,,required,Time horizon of the optimization problem
UCBlock,NumberUnits,Dimension,Dimension,int,-,-,,required,Number of units
UCBlock,NumberElectricalGenerators,Dimension,Dimension,int,-,-,,optional,Number of electrical generators
UCBlock,NumberNodes,Dimension,Dimension,int,-,-,1.0,optional,Number of nodes
UCBlock,NumberLines,Dimension,Dimension,int,-,-,,optional,Number of lines
UCBlock,NumberArcs,Dimension,Dimension,int,-,-,,optional,Number of arcs
UCBlock,NumberReservoirs,Dimension,Dimension,int,-,-,,optional,Number of reservoirs
UCBlock,TotalNumberPieces,Dimension,Dimension,int,-,-,,optional,Number of pieces of the power flow function
UCBlock,GeneratorNode,Variable,Variable,int,-|NumberElectricalGenerators,-,,optional,List of buses of connection by unit
UCBlock,StartLine,Variable,Variable,int,-|NumberLines,-,,optional,Start buses of lines
UCBlock,EndLine,Variable,Variable,int,-|NumberLines,-,,optional,End buses of lines
UCBlock,MinPowerFlow,Variable,Variable,double,-|NumberLines,MW,,optional,Minimum power flow of lines
UCBlock,MaxPowerFlow,Variable,Variable,double,-|NumberLines,MW,,optional,Maximum power flow of lines
UCBlock,LineSusceptance,Variable,Variable,double,-|NumberLines,Siemens,,optional,Susceptance of lines
UCBlock,LineResistance,Variable,Variable,double,-|NumberLines,Ohm,,optional,Resistance of lines
UCBlock,NetworkCost,Variable,Variable,double,-|NumberLines,€/MWh,,optional,Marginal cost of the network flows
UCBlock,ActivePowerDemand,Variable,Variable,double,-|NumberNodes|TimeHorizon|NumberNodes-TimeHorizon,MW,,optional,Active power demand of nodes
UCBlock,UnitBlock_*,Block,Group,UnitBlock,list,-.-,,optional,Unit blocks
UCBlock,NetworkBlock_*,Block,Group,NetworkBlock,list,-.-,,optional,Network blocks
