MineralSpeciesName,MineralSpeciesAbbrev,Formula,BermanCalib,OldPhaseName,PhaseName,PhaseAbbrev,MineralSpeciesClass,SolutionClass,LambdaTrans,OrderTrans,PolymorphGroup,SpeciesNameAlternate,Notes
Aegirine,Aeg,NaFeSi2O6,,Aegirine,,Aeg,Aegirine,,,,,,
Aenigmatite,Aeng,Na2Fe5TiSi6O20,,Aenigmatite,,Aeng,Aenigmatite,,,,,,
Akermanite,Ak,Ca2MgSi2O7,1,Melilite,Melilite,Mll,Akermanite,Melilite,lAk/hAk,,,,Lambda transition reflecting changes in twinning and grain size.
Albite,Ab,NaAlSi3O8,,Feldspar,Feldspar,Fsp,Albite,Feldspar,lAb/hAb,,,,Endmember for both Plagioclase and Alkali-Feldspar series. Lambda transition between low/high Albite.
Almandine,Alm,Fe3Al2Si3O12,1,Garnet,Garnet,Grt,Almandine,Garnet,,,,,
Alumino-Buffonite,Abfn,CaTi0.5Mg0.5AlSiO6,0,,Clinopyroxene,Cpx,,Cpx,,,,,
Analcime,Anl,NaAlSi2O5(OH)2,0,,Leucite,Lct,,Leucite,,,,,
Andalusite,And,Al2SiO5,,Andalusite,,And,Andalusite,,,,Ky/And/Sil,,Member of polymorph group Kyanite/Andalusite/Sillimanite
Annite,Ann,KFe3Si3AlO10(OH)2,0,,Biotite,Bt,,Biotite,,,,,Member of Biotite Solid Solution
Anorthite,An,CaAl2Si2O8,1,Plagioclase,Feldspar,Fsp,Anorthite,Feldspar,,,,,
Anthophyllite,Ath,Mg7Si8O22(OH)2,,Anthophyllite,,Ath,Anthophyllite,,,,,,Amphibole mineral
Antigorite,Atg,Mg3Si2O5(OH)4,,Antigorite,,Atg,Antigorite,,,,,,Serpentine Group
Apatite,Ap,Ca5(PO4)3OH,,Apatite,,Ap,Apatite,,,,,hydroxyapatite,"Part of Apatite Solid Solution: Ca5(P04)3(F,Cl,OH)"
Aragonite,Arg,CaCO3,,Aragonite,,Arg,,,,,Cal/Arg,,
Brucite,Brc,Mg(OH)2,,Brucite,,Brc,Brucite,,,,,,
Buffonite,Bfn,CaTi0.5Mg0.5FeSiO6,0,,Clinopyroxene,Cpx,,Cpx,,,,,
Ca-Al Pyroxene,CaTs,CaAl2SiO6,,Clinopyroxene,,Cpx,Ca_Al_Pyroxene,,,,,Calcium Tschermak's pyroxene,
Calcite,Cal,CaCO3,,Calcite,,Cal,Calcite,,,,Cal/Arg,,
Chromite,Chr,FeCr2O4,1,Spinel,Spinel,Spl,Chromite,Spinel,,,,,
Chrysotile,Ctl,Mg3Si2O5(OH)4,,Chrysotile,,Ctl,Chrysotile,,,,,,Serpentine Group
Clinochlore,Clc,Mg5Al(AlSi3O10)(OH)8,,Clinochlore,,Clc,Clinochlore,,,,,,Solid-solution with Fe-bearing chamosite
Clinoenstatite,cEn,MgSiO3,1,Clinopyroxene,Clinopyroxene,Cpx,Clinoenstatite,Cpx,,,En/cEn/pEn/Prv,,
Clinozoisite,cZo,Ca2AI3Si3O12(OH) ,,Epidote,,Ep,Clinozoisite,,,,Zo/cZo,,
Co-Olivine,Cool,Co2SiO4,0,,Olivine,Ol,,Olivine,,,,,
Coesite,Coe,SiO2,,Coesite,,Coe,Coesite,,,,Qz/Crs/Trd/Coe,,
Cordierite,Crd,Mg2Al4Si5O18,,Cordierite,,Crd,Cordierite,,,,,,
Corundum,Crn,Al2O3,1,Hematite,Rhombohedral,Rhom,Corundum,Rhombohedral,,,,,
Cristobalite,Crs,SiO2,,Cristobalite,,Crs,Cristobalite,,aCrs/bCrs,,Qz/Crs/Trd/Coe,,"Lambda transition between alpha/beta Cristobalite (aka, low/high)."
Cummingtonite,Cum,Mg7Si8O22(OH)2,0,,Clinoamphibole,Cam,,Clinoamphibole,,,,,
Diaspore,Dsp,AlO(OH) ,,Diaspore,,Dsp,Diaspore,,,,,,
Diopside,Di,CaMgSi2O6 ,1,Clinopyroxene,Clinopyroxene,Cpx,Diopside,Cpx,,,,,
Dolomite,Dol,CaMg(CO3)2,,Dolomite,,Dol,Dolomite,,,,,,
Essenite,Ess,CaFeAlSiO6,0,,Clinopyroxene,Cpx,,Cpx,,,,,
Fayalite,Fa,Fe2SiO4,1,Olivine,Olivine,Ol,Fayalite,Olivine,,,,,
Ferropargasite,Fprg,NaCa2Fe4AlAl2Si6O22(OH)2,0,,Hornblende,Hbl,,Hornblende,,,,,
Ferropseudobrookite,Fpsb,FeTi2O5,0,,Ortho-Oxide,Orox,,OrthoOxide,,,,,
Ferrosilite,Fs,FeSiO3,,Orthopyroxene,,Opx,Ferrosilite,,,,,,
Forsterite,Fo,Mg2SiO4,1,Olivine,Olivine,Ol,Forsterite,Olivine,,,,,
Gehlenite,Gh,Ca2Al2SiO7,1,Melilite,Melilite,Mll,Gehlenite,Melilite,,,,,
Geikielite,Gk,MgTiO3,0,,Rhombohedral,Rhom,,Rhombohedral,,,,,
Grossular,Grs,Ca3Al2Si3O12,1,Garnet,Garnet,Grt,Grossular,Garnet,,,,,
Grunerite,Gru,Fe7Si8O22(OH)2,0,,Clinoamphibole,Cam,,Clinoamphibole,,,,,
H2O (generic),H2O,H2O,,,,,,,,,,,
Hedenbergite,Hd,CaFeSi2O6,0,,Clinopyroxene,Cpx,,Cpx,,,,,
Hematite,Hem,Fe2O3,1,Hematite,Rhombohedral,Rhom,Hematite,Rhombohedral,lHem/hHem,,,,Lambda transition describing antiferromagnetic transition from low to high.
Hercynite,Hc,FeAl2O4,0,,Spinel,Spl,,Spinel,,,,,
Hydrogen Gas,H,H2,,,,,Hydrogen_Gas,,,,,,
Ilmenite,Ilm,FeTiO3,1,Ilmenite,Rhombohedral,Rhom,Ilmenite,Rhombohedral,,,,,
Iron-Akermanite,Fak,Ca2FeSi2O7,0,,Akermanite,Mll,,Melilite,,,,,
Jadeite,Jd,NaAlSi2O6,1,Clinopyroxene,Clinopyroxene,Cpx,Jadeite,Cpx,,,,,
Kalsilite,Kls,KAlSiO4,,K-Nepheline,,KNph,Kalsilite,,,,,,Part of Kalsilite-Nepheline solid solution
Kaolinite,Kln,Al2Si2O5(OH)4,,Kaolinite,,Kln,Kaolinite,,,,,,
Karrooite,Krt,MgTi2O5,0,,Ortho-Oxide,Orox,,OrthoOxide,,,,,
Kyanite,Ky,Al2SiO5 ,,Kyanite,,Ky,Kyanite,,,,Ky/And/Sil,,Member of polymorph group Kyanite/Andalusite/Sillimanite
Lawsonite,Lws,CaAl2Si2O7(OH)2*H2O,,Lawsonite,,Lws,Lawsonite,,,,,,
Leucite,Lct,KAlSi2O6,0,,Leucite,Lct,,Leucite,,,,,
Lime,Lm,CaO,,Lime,,Lm,Lime,,,,,,
Magnesiohastingsite,Mhs,NaCa2Mg4FeAl2Si6O22(OH)2,0,,Hornblende,Hbl,,Hornblende,,,,,
Magnesite,Mgs,MgCO3,,Calcite,,Cal,Magnesite,,,,,,
Magnetite,Mag,Fe3O4,1,Spinel,Spinel,Spl,Magnetite,Spinel,lMag/hMag,,,,Lambda transition describes ferri-magnetic (low) to paramagnetic transition (high).
Margarite,Mrg,CaAl4Si2O10(OH)2,,,,,Margarite,,,,,,
Meionite,Mei,Ca4Al6Si6O25(CO2),,,,,Meionite,,,,,,
Merwinite,Mw,Ca3MgSi2O8,,,,,Merwinite,,,,,,
Mg-Al Spinel,Spl,MgAl2O4,1,Spinel,Spinel,Spl,Mg_Al_Spinel,Spinel,,,,,
Microcline,Mc,KAlSi3O8,1,Alkali-Feldspar,Feldspar,Fsp,Microcline,Feldspar,,,,,
Monticellite,Mtc,CaMgSiO4,1,,Olivine,Ol,Monticellite,Olivine,,,,,
Muscovite,Ms,KAl3Si3O10(OH)2 ,,Mica,,Mica,Muscovite,,,,,Potash-Mica,
Na-Leucite,Nlct,NaAlSi2O6,0,,Leucite,Lct,,Leucite,,,,,
Ni-Olivine,Niol,Ni2SiO4,0,,Olivine,Ol,,Olivine,,,,,
Nepheline,Nph,NaAlSiO4,,K-Nepheline,KalsiliteSS,Kls,Nepheline,KalsiliteSS,,,,,Part of Kalsilite-Nepheline solid solution
Orthoenstatite,En,MgSiO3,,Orthopyroxene,,Opx,Orthoenstatite,,,,En/cEn/pEn/Prv,,
Oxygen Gas,O2,O2,,,,,Oxygen_Gas,,,,,,
Paragonite,Pg,NaAl3Si3O10(OH)2,,,,,Paragonite,,,,,,
Pargasite,Prg,NaCa2Mg4AlAl2Si6O22(OH)2,0,,Hornblende,Hbl,,Hornblende,,,,,
Periclase,Per,MgO,,,,,Periclase,,,,,,
Perovskite,Prv,MgSiO3,,Perovskite,,Prv,Perovskite,,,,En/cEn/pEn/Prv,Bridgmanite,
Phlogopite,Phl,KMg3Si3AlO10(OH)2,,Biotite,Biotite,Bt,Phlogopite,Biotite,,,,Mg-Mica,
Potassium Feldspar,Kfs,KAlSi3O8,,Alkali-Feldspar,,Afs,Potassium_Feldspar,,,,,Orthoclase?,
Prehnite,Prh,Ca2Al2Si3O10(OH)2,,,,,Prehnite,,,,,,
Protoenstatite,pEn,MgSiO3,,,,,Protoenstatite,,,,En/cEn/pEn/Prv,,
Pseudobrookite,Psb,Fe2TiO5,0,,Ortho-Oxide,Orox,,OrthoOxide,,,,,
Pseudowollastonite,pWo,CaSiO3,,,,,Pseudowollastonite,,,,,,
Pyrope,Prp,Mg3Al2Si3O12,1,Garnet,Garnet,Grt,Pyrope,Garnet,,,,,
Pyrophanite,Pph,MnTiO3,0,,Rhombohedral,Rhom,,Rhombohedral,,,,,
Pyrophyllite,Prl,Al2Si4O10(OH)2,,,,,Pyrophyllite,,,,,,
Quartz,Qz,SiO2,,,,,Quartz,,aQz/bQz,,Qz/Crs/Trd/Coe,,"Lambda transition between alpha/beta Quartz (aka, low/high). Member of polymorph group Quartz/Cristobalite/Tridymite."
Rutile,Rt,TiO2,,,,,Rutile,,,,,,
Sanidine,Sa,KAlSi3O8,,Alkali-Feldspar,Feldspar,Fsp,Sanidine,Feldspar,,,,,
Sillimanite,Sil,Al2SiO5 ,,Sillimanite,,Sil,Sillimanite,,,,Ky/And/Sil,,Member of polymorph group Kyanite/Andalusite/Sillimanite
Soda-Melilite,Nmll,Na2Si3O7,0,,Melilite,Mll,,Melilite,,,,,
Sphene,Spn,TiO2,,,,,Sphene,,,,,,
Sulfur Gas,H2S,H2S,,,,,Sulfur_Gas,,,,,,
Talc,Tlc,Mg3Si4O10(OH)2,,,,,Talc,,,,,,
Tephroite,Tep,Mn2SiO4,0,,Olivine,Ol,,Olivine,,,,,
Tremolite,Tr,Ca2Mg5Si8O22(OH)2,1,,Clinoamphibole,Cam,Tremolite,Clinoamphibole,,,,,
Tridymite,Trd,SiO2,,,,,Tridymite,,lTr/hTr,,Qz/Crs/Trd/Coe,,"Lambda transition between low/high Tridymite (aka, alpha/beta)."
Ulvospinel,Usp,Fe2TiO4,0,,Spinel,Spl,,Spinel,,,,,
Whitlockite,Wht,Ca9Mg(PO4)6(PO3OH),,,,,Whitlockite,,,,,,
