,expr
0,$\mathbf {s_3}$
1,$\bar M$
2,$(1+r)\lambda \mathsf{E}[X]$
3,$m(1)=m_3=0$
4,$X_2=2$
5,$a=1$
6,$e^{-kX}/\mathsf{E}[e^{-kX}]$
7,$U < s$
8,$n \le pN < (n+1)$
9,"$\mathsf{TI,\ MON}$"
10,$\log(g')$
11,$\mathsf{E}_{\mathsf Q}[X\mid \mathcal F]=\mathsf{E}[XZ\mid \mathcal F]/\mathsf{E}[Z\mid \mathcal F]$
12,$(.*?)\$
13,$\rho(X)=\infty$
14,$F(x-) = \lim_{t\uparrow x} F(t)$
15,"$\mathsf{MON,\ TI,\ PH}$"
16,$Y\succeq Z$
17,$|S|$
18,$\mathsf{CONVEX}$
19,$s^{1/2}$
20,$1000e^{\mu}$
21,$p^* =0.7501$
22,$X=\sum_j X_j$
23,$\beta_{2}$
24,$\sigma=0.50$
25,$Z(s)=\Phi^{-1}(s)$
26,$\hat p=1-g^{-1}(1-p)$
27,$\kappa_i(X)=\mathsf{E}[X_i\mid X]$
28,$\mathsf{E}[X_i\mid X](\omega)$
29,$\sigma^2 t$
30,$\uparrow\uparrow$
31,$F(x)=1-e^{-x/\mu}$
32,$g(S(X))$
33,$0<\rho\le 1$
34,$P = \mathsf{E}[X] + \pi\mathsf{E}[X]$
35,$\bar Q_{0}=a_{0}-\bar P_{0}$
36,$s\downarrow 0$
37,$X=\frac{1}{n}\sum_i X_i$
38,$>(s_0/2^{n+1})2^n\bar q(s_0)=s_0\bar q(s_0)/2$
39,$\rho(X)>\max(X) g(0+)=\infty$
40,$\mathsf{E}[Z]\le 1$
41,$\lambda\to\infty$
42,$\mathsf{j}(a)=6$
43,"$g(s)=w+(1-w)s, s>0$"
44,$\mathsf{TVaR}_{0.65}$
45,$c(S)=g(\mathsf{Pr}(S))$
46,$c(S\cup\{i\})=c(S)+c(i)$
47,$\mu(\{p_j\})$
