,expr
0,$\sigma=0.075$
1,"$(\s, 4-\s)$"
2,$\le 1/(1-p)$
3,$x\mapsto \mathsf{E}(X_i\wedge x)$
4,$a(f)=\dfrac{gs_g}{1-f-fgs_g}$
5,$\int_0^1 \phi(p)dp=1$
6,$\ge 5000$
7,$E_2\not=0$
8,$\rho(-1_{A^c}) = \rho(-1_{B_l} - 1_{B_r}) = \rho(-1_{B_l}) + \rho(-1_{B_r})$
9,$X:\{\text{Explicit Events}\}\to\mathbb{R}$
10,$\tilde p<p$
11,"$M(X_1, a)+M(X_2, a)=M(X_1+X_2, a)$"
12,$\bar x + t\bar h$
13,$\rho(A_0) + k \mathsf  E[N]$
14,$p-1=28$
15,$Z(u)=sum_i u_iX_i$
16,$X(\omega)=\omega$
17,$\bar S(a)$
18,"$i=1,\dots,n_d$"
19,"$f_x(x_i, \hat x_i)$"
20,$1-r_0$
21,"$(rep.east) + (1.5,  1.5)$"
22,$R_1(t)= \bar P^a_1(t)/(1-t)$
23,"${1+1}*(1,.5)$"
24,$g(S_t(a(t)))$
25,$ and derives $
26,$2^{-72}=1/4722366482869645213696=1/4.7\times 10^{21}$
27,$\mathsf{E}(X) = \displaystyle\int_0^\infty xf(x)dx = -xS(x)\vert_0^\infty + \displaystyle\int_0^\infty S(x)dx = \displaystyle\int_0^\infty S(x)dx$
28,"$\mathbf{T_0}=(\mathsf{TVaR}_{p_j}(X_i))_{i,j}$"
29,$\mu(\Omega)\not=1$
30,$D=\sum_{i\in I} D_i$
31,$Z$
32,"$(X_i, a_i)$"
33,$\hat\rho(A_{k_0}) \ge \rho(A_{k_0})$
34,$\rho(X_n)\uparrow 0$
35,$\rho_t(X) \ge \mathsf E[\rho_{t+1}(X)\mid \mathcal F_t]$
36,$A - \mathsf E[A] \succeq_2 A_0$
37,$GF$
38,$f\le 0$
39,$0<t<0.5$
40,$X=NF(\bar x)$
41,$q<\infty$
42,$\beta=1$
43,$|X|=X_++X_-$
44,$O(dt^2)$
45,"$(F(x),x)=(1-S(x), x)$"
46,$N_a$
47,$0\le N\le G$
48,$\rho(X)=E(gX)$
49,"$mu\in\mathscr{P}[0,1]$"
50,$11 million occurs a loss of $
51,"$X\wedge 1:=\min(X,1)$"
52,$=\iota=$
53,$0<b<1$
