Name,Value,ENVO Name,ENVO Definition,ENVO ID,ENVO URL,Description,Table,Classification,Notes
Annual Broadleaf Vegetation,5,,,,,Dominated by herbaceous annuals (<2m). At least 60% cultivated broadleaf crops.,6,BGC,
Annual Grass Vegetation,6,,,,,Dominated by herbaceous annuals (<2m) including cereal croplands.,6,BGC,
Backfilled label,8,,,,,"Missing label from stabilization, filled with the pre-stabilized result.",11,QA,
Barren,1,area of barren land,"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.",01000752,http://purl.obolibrary.org/obo/ENVO_01000752,"At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.",8,LCCS1,
Barren,1,area of barren land,"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.",01000752,http://purl.obolibrary.org/obo/ENVO_01000752,"At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.",9,LCCS2,
Barren,1,area of barren land,"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.",01000752,http://purl.obolibrary.org/obo/ENVO_01000752,"At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.",10,LCCS3,
Barren,11,area of barren land,"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.",01000752,http://purl.obolibrary.org/obo/ENVO_01000752,"At least 60% of area is non-vegetated barren (sand, rock, soil) with less than 10% vegetation.",7,PFT,
Barren,16,area of barren land,"An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.",01000752,http://purl.obolibrary.org/obo/ENVO_01000752,"At least 60% of area is non-vegetated barren (sand, rock, soil) areas with less than 10% vegetation.",3,IGBP,
Broadleaf Croplands,3,,,,,Dominated by herbaceous annuals (<2m) that are cultivated with broadleaf crops.,5,LAI,
Broadleaf Croplands,8,,,,,Dominated by herbaceous annuals (<2m).  At least 60% cultivated cereal crops.,7,PFT,
