text,category,value
Sample text 0,A,0.5549883882127017
Sample text 1,C,0.6017709579962173
Sample text 2,A,0.27948937993605527
Sample text 3,B,0.3745477342662632
Sample text 4,A,0.23667680747230646
Sample text 5,C,0.7788260520263837
Sample text 6,B,0.21626999451221451
Sample text 7,A,0.48025340512419
Sample text 8,C,0.05384212558631385
Sample text 9,C,0.8794051024180202
Sample text 10,C,0.7591517276868763
Sample text 11,A,0.7916318454094783
Sample text 12,C,0.45746554980590226
Sample text 13,A,0.3876741158531607
Sample text 14,C,0.39773309553504144
Sample text 15,A,0.42973713228903876
Sample text 16,C,0.33902180588802955
Sample text 17,B,0.3765507153036569
Sample text 18,B,0.5270222133121073
Sample text 19,B,0.8879323122380973
Sample text 20,C,0.5065055012912879
Sample text 21,C,0.8913678776020755
Sample text 22,A,0.036314771234826515
Sample text 23,A,0.33175459227802384
Sample text 24,C,0.7112081800946769
Sample text 25,A,0.4314352301100448
Sample text 26,B,0.714523765630364
Sample text 27,A,0.6374424040141203
Sample text 28,B,0.8787059861556962
Sample text 29,A,0.5313478456011834
Sample text 30,A,0.16067059603163558
Sample text 31,A,0.6442448455509308
Sample text 32,B,0.8491382452110001
Sample text 33,C,0.43268688697785196
Sample text 34,B,0.16001675057999853
Sample text 35,A,0.5994840954145965
Sample text 36,C,0.4591367498289669
Sample text 37,C,0.09913084607762235
Sample text 38,A,0.7228654927471629
Sample text 39,A,0.9984304758890008
Sample text 40,C,0.6108021793824023
Sample text 41,A,0.885620785143594
Sample text 42,C,0.6731904822592545
Sample text 43,C,0.7444257386921309
Sample text 44,B,0.33095388564818806
Sample text 45,C,0.10198667489528457
Sample text 46,C,0.8913664895009944
Sample text 47,A,0.557476225431167
Sample text 48,B,0.16966732209042745
Sample text 49,A,0.7777276451559937
Sample text 50,A,0.08740278707777449
Sample text 51,C,0.8979121105389699
Sample text 52,A,0.21659740039145448
Sample text 53,B,0.7794210484531987
Sample text 54,B,0.11360160386104612
Sample text 55,A,0.8939369623932895
Sample text 56,B,0.716838660272883
Sample text 57,C,0.40983472871275295
Sample text 58,A,0.8280979718883956
Sample text 59,B,0.9469745320745284
Sample text 60,B,0.6649648950363891
Sample text 61,B,0.12299304556503887
Sample text 62,B,0.059855294596705244
Sample text 63,C,0.6657635887959961
Sample text 64,A,0.9236627067037283
Sample text 65,B,0.39816793604687317
Sample text 66,B,0.7846096234884923
Sample text 67,C,0.40013022942438614
Sample text 68,A,0.9917452306677863
Sample text 69,A,0.504258650954105
Sample text 70,A,0.7799943045074011
Sample text 71,B,0.6047286196623081
Sample text 72,C,0.519346345129091
Sample text 73,C,0.28549184196128763
Sample text 74,A,0.07381043607641646
Sample text 75,B,0.19548363492250997
Sample text 76,A,0.6823397701496969
Sample text 77,A,0.8964312660507576
Sample text 78,C,0.6775076457707132
Sample text 79,B,0.25064990598165227
Sample text 80,C,0.4230185577013832
Sample text 81,A,0.1977292977641144
Sample text 82,C,0.5458479075738533
Sample text 83,B,0.05533004804061392
Sample text 84,A,0.925505385883546
Sample text 85,A,0.022866280299222774
Sample text 86,C,0.34744904592633996
Sample text 87,C,0.9152149418475383
Sample text 88,C,0.6246841887790799
Sample text 89,C,0.4974640774878367
Sample text 90,B,0.5052076992169119
Sample text 91,A,0.756359906929087
Sample text 92,A,0.5533125259349263
Sample text 93,C,0.16291290556527216
Sample text 94,C,0.7556483818257825
Sample text 95,A,0.7328576824533483
Sample text 96,A,0.9566337433679606
Sample text 97,B,0.6958279315229825
Sample text 98,C,0.5365366865155563
Sample text 99,C,0.18488447328962543
Sample text 100,A,0.8797111347814894
Sample text 101,B,0.2236105721607241
Sample text 102,A,0.16931029686610066
Sample text 103,C,0.5412737539059851
Sample text 104,B,0.44945434196941036
Sample text 105,A,0.013129071663541714
Sample text 106,B,0.867359913389586
Sample text 107,A,0.02655346650369872
Sample text 108,A,0.09204789435010141
Sample text 109,B,0.570129904609612
Sample text 110,C,0.7897196845074899
Sample text 111,B,0.5844254574384248
Sample text 112,B,0.1199548900201719
Sample text 113,A,0.8464194377478103
Sample text 114,B,0.2270499473748364
Sample text 115,B,0.1501229946676288
Sample text 116,C,0.7252640006742311
Sample text 117,A,0.22306412653358965
Sample text 118,C,0.03864056337255761
Sample text 119,C,0.701362747947331
Sample text 120,C,0.9231851604302274
Sample text 121,A,0.3334182882246347
Sample text 122,B,0.7605735317030067
Sample text 123,C,0.3526071641532883
Sample text 124,C,0.322182004513479
Sample text 125,B,0.32817862181667445
Sample text 126,A,0.5361888365231141
Sample text 127,B,0.01406955582616487
Sample text 128,C,0.7076938770416785
