drug_concept_id	ingredient_concept_id	amount_value	amount_unit_concept_id	numerator_value	numerator_unit_concept_id	denominator_value	denominator_unit_concept_id	box_size	valid_start_date	valid_end_date	invalid_reason
501343	501343		8510						1970-01-01	2099-12-31	
501345	501343			217	8510		8587		1970-01-01	2099-12-31	
501346	501343			200	8510		8587		1970-01-01	2099-12-31	
501347	501343			50	8510		8587		1970-01-01	2099-12-31	
501415	501343			108.5	8510	0.5	8587		1970-01-01	2099-12-31	
32763	32763		8576						1970-01-01	2020-05-25	U
32764	32764		8576						2020-03-21	2099-12-31	
32765	32765		8576						2020-03-21	2099-12-31	
32766	32766		8576						2020-03-21	2099-12-31	
32767	32767		8576						2020-03-21	2099-12-31	
