concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
0,No matching concept,Metadata,None,Undefined,,No matching concept,1970-01-01,2099-12-31,
5001,Test ordered through EHR,Type Concept,Meas Type,Meas Type,,OMOP4822277,1970-01-01,2099-12-31,
8507,MALE,Gender,Gender,Gender,S,M,1970-01-01,2099-12-31,
8515,Asian,Race,Race,Race,S,2,1970-01-01,2099-12-31,
8516,Black or African American,Race,Race,Race,S,3,1970-01-01,2099-12-31,
8527,White,Race,Race,Race,S,5,1970-01-01,2099-12-31,
8532,FEMALE,Gender,Gender,Gender,S,F,1970-01-01,2099-12-31,
9201,Inpatient Visit,Visit,Visit,Visit,S,IP,1970-01-01,2099-12-31,
9202,Outpatient Visit,Visit,Visit,Visit,S,OP,1970-01-01,2099-12-31,
9203,Emergency Room Visit,Visit,Visit,Visit,S,ER,1970-01-01,2099-12-31,
28060,Streptococcal sore throat,Condition,SNOMED,Disorder,S,43878008,2002-01-31,2099-12-31,
32020,EHR encounter diagnosis,Type Concept,Condition Type,Condition Type,,OMOP4822160,1970-01-01,2099-12-31,
75036,"Localized, primary osteoarthritis of the hand",Condition,SNOMED,Disorder,S,201834006,2002-01-31,2099-12-31,
78272,Sprain of wrist,Condition,SNOMED,Disorder,S,70704007,2002-01-31,2099-12-31,
79740,Overlapping malignant neoplasm of colon,Condition,SNOMED,Disorder,S,109838007,2002-01-31,2099-12-31,
80502,Osteoporosis,Condition,SNOMED,Disorder,S,64859006,2002-01-31,2099-12-31,
80809,Rheumatoid arthritis,Condition,SNOMED,Disorder,S,69896004,2002-01-31,2099-12-31,
81151,Sprain of ankle,Condition,SNOMED,Disorder,S,44465007,2002-01-31,2099-12-31,
133834,Atopic dermatitis,Condition,SNOMED,Disorder,S,24079001,2002-01-31,2099-12-31,
134438,Contact dermatitis,Condition,SNOMED,Disorder,S,40275004,2002-01-31,2099-12-31,
137613,Eclampsia in pregnancy,Condition,SNOMED,Disorder,S,198992004,2002-01-31,2099-12-31,
140673,Hypothyroidism,Condition,SNOMED,Disorder,S,40930008,2002-01-31,2099-12-31,
192279,Disorder of kidney due to diabetes mellitus,Condition,SNOMED,Disorder,S,127013003,2002-01-31,2099-12-31,
195588,Cystitis,Condition,SNOMED,Disorder,S,38822007,2002-01-31,2099-12-31,
196456,Gallstone,Condition,SNOMED,Disorder,S,235919008,2002-01-31,2099-12-31,
197500,Primary malignant neoplasm of colon,Condition,SNOMED,Disorder,S,93761005,2002-01-31,2099-12-31,
198199,Pyelonephritis,Condition,SNOMED,Disorder,S,45816000,2002-01-31,2099-12-31,
198809,Acute cholecystitis,Condition,SNOMED,Disorder,S,65275009,2002-01-31,2099-12-31,
199076,Tubal pregnancy,Condition,SNOMED,Disorder,S,79586000,2002-01-31,2099-12-31,
200970,Carcinoma in situ of prostate,Condition,SNOMED,Disorder,S,92691004,2002-01-31,2099-12-31,
201826,Type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,44054006,2002-01-31,2099-12-31,
255848,Pneumonia,Condition,SNOMED,Disorder,S,233604007,2002-01-31,2099-12-31,
257012,Chronic sinusitis,Condition,SNOMED,Disorder,S,40055000,2002-01-31,2099-12-31,
258780,Emphysematous bronchitis,Condition,SNOMED,Disorder,S,185086009,2002-01-31,2099-12-31,
260139,Acute bronchitis,Condition,SNOMED,Disorder,S,10509002,2002-01-31,2099-12-31,
261325,Pulmonary emphysema,Condition,SNOMED,Disorder,S,87433001,2002-01-31,2099-12-31,
313217,Atrial fibrillation,Condition,SNOMED,Disorder,S,49436004,2002-01-31,2099-12-31,
316866,Hypertensive disorder,Condition,SNOMED,Disorder,S,38341003,2002-01-31,2099-12-31,
317009,Asthma,Condition,SNOMED,Disorder,S,195967001,2002-01-31,2099-12-31,
317576,Coronary arteriosclerosis,Condition,SNOMED,Disorder,S,53741008,2002-01-31,2099-12-31,
321042,Cardiac arrest,Condition,SNOMED,Disorder,S,410429000,2004-07-31,2099-12-31,
372328,Otitis media,Condition,SNOMED,Disorder,S,65363002,2002-01-31,2099-12-31,
375671,Concussion with loss of consciousness,Condition,SNOMED,Disorder,S,62564004,2002-01-31,2099-12-31,
378001,Concussion with no loss of consciousness,Condition,SNOMED,Disorder,S,62106007,2002-01-31,2099-12-31,
378419,Alzheimer's disease,Condition,SNOMED,Disorder,S,26929004,2002-01-31,2099-12-31,
380378,Epilepsy,Condition,SNOMED,Disorder,S,84757009,2002-01-31,2099-12-31,
381316,Cerebrovascular accident,Condition,SNOMED,Disorder,S,230690007,2002-01-31,2099-12-31,
432867,Hyperlipidemia,Condition,SNOMED,Disorder,S,55822004,2002-01-31,2099-12-31,
433644,Allergy to shellfish,Observation,SNOMED,Clinical Finding,,300913006,2002-01-31,2099-12-31,
436096,Chronic pain,Condition,SNOMED,Clinical Finding,S,82423001,2002-01-31,2099-12-31,
436676,Posttraumatic stress disorder,Condition,SNOMED,Disorder,S,47505003,2002-01-31,2099-12-31,
436940,Metabolic syndrome X,Condition,SNOMED,Disorder,S,237602007,2002-01-31,2099-12-31,
438130,Opioid abuse,Condition,SNOMED,Disorder,S,5602001,2002-01-31,2099-12-31,
438614,Allergy to nut,Observation,SNOMED,Clinical Finding,,91934008,2002-01-31,2099-12-31,
439393,Pre-eclampsia,Condition,SNOMED,Disorder,S,398254007,2003-07-31,2099-12-31,
439406,Allergy to animal dander,Observation,SNOMED,Clinical Finding,,232347008,2002-01-31,2022-04-30,U
439777,Anemia,Condition,SNOMED,Disorder,S,271737000,2002-01-31,2099-12-31,
440086,Child attention deficit disorder,Condition,SNOMED,Disorder,S,192127007,2002-01-31,2099-12-31,
440448,Appendicitis,Condition,SNOMED,Disorder,S,74400008,2002-01-31,2099-12-31,
440674,Gout,Condition,SNOMED,Disorder,S,90560007,2002-01-31,2099-12-31,
442116,Allergy to edible egg,Observation,SNOMED,Clinical Finding,,91930004,2002-01-31,2020-07-31,D
443597,Chronic kidney disease stage 3,Condition,SNOMED,Disorder,S,433144002,2008-07-31,2099-12-31,
443601,Chronic kidney disease stage 2,Condition,SNOMED,Disorder,S,431856006,2008-07-31,2099-12-31,
443614,Chronic kidney disease stage 1,Condition,SNOMED,Disorder,S,431855005,2008-07-31,2099-12-31,
444094,Finding related to pregnancy,Condition,SNOMED,Clinical Finding,S,118185001,2002-01-31,2099-12-31,
581452,Dispensed in Outpatient office,Type Concept,Drug Type,Drug Type,,OMOP4822253,1970-01-01,2099-12-31,
701322,memantine,Drug,RxNorm,Ingredient,S,6719,1970-01-01,2099-12-31,
705944,methylphenidate,Drug,RxNorm,Ingredient,S,6901,1970-01-01,2099-12-31,
708298,midazolam,Drug,RxNorm,Ingredient,S,6960,1970-01-01,2099-12-31,
715997,donepezil,Drug,RxNorm,Ingredient,S,135447,1970-01-01,2099-12-31,
718583,nicotine,Drug,RxNorm,Ingredient,S,7407,1970-01-01,2099-12-31,
723013,diazepam,Drug,RxNorm,Ingredient,S,3322,1970-01-01,2099-12-31,
738818,doxylamine,Drug,RxNorm,Ingredient,S,3642,1970-01-01,2099-12-31,
739138,sertraline,Drug,RxNorm,Ingredient,S,36437,1970-01-01,2099-12-31,
740275,carbamazepine,Drug,RxNorm,Ingredient,S,2002,1970-01-01,2099-12-31,
742185,atomoxetine,Drug,RxNorm,Ingredient,S,38400,1970-01-01,2099-12-31,
753626,propofol,Drug,RxNorm,Ingredient,S,8782,1970-01-01,2099-12-31,
755695,fluoxetine,Drug,RxNorm,Ingredient,S,4493,1970-01-01,2099-12-31,
757627,galantamine,Drug,RxNorm,Ingredient,S,4637,1970-01-01,2099-12-31,
782043,isoflurane,Drug,RxNorm,Ingredient,S,6026,1970-01-01,2099-12-31,
782047,isoflurane 999 MG/ML Inhalation Solution,Drug,RxNorm,Clinical Drug,S,542347,2005-09-11,2099-12-31,
836654,tacrine,Drug,RxNorm,Ingredient,S,10318,1970-01-01,2099-12-31,
