"Acc_number","Functional_classes","Protein_families","Putative_functions"
"AT4G39640","Unknown function","","gamma-glutamyltransferase"
"AT4G16260","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G47550","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","proteinase inhibitor family I25 (phytostatin) (cystatin family, I25.033, MEROPS) (AtCYS-5)"
"AT5G45280","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE11)"
"AT2G16430","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP10)"
"AT1G30600","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT2.1, ALE1) (Peptidase family S08.A03, MEROPS)"
"AT5G34940","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 79 - GH79 (endo-beta-glucuronidase/heparanase)"
"AT2G38380","Oxido-reductases","class III peroxidase","peroxidase (AtPrx22) (ATPEA)"
"AT1G80170","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT5G25980","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (thioglucoside hydrolase 2) (TGG2) (AtBGLU37)"
"AT4G32940","Proteases","Cys protease","peptidase C13 (legumain family) (peptidase family C13.006, MEROPS)"
"AT4G38400","Proteins acting on cell wall polysaccharides","expansin","expansin-like A (ATHEXP BETA 2.2) (AtEXLA2)"
"AT3G12500","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT3G06770","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT2G28100","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 29 - GH29 (alpha-L-fucosidase)"
"AT2G37870","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPd6)"
"AT5G23820","Proteins related to lipid metabolism","","expressed protein (MD-2-related lipid-recognition (ML) domain)"
"AT4G29700","Miscellaneous","","phosphodiesterase"
"AT3G02880","Signaling","LRR-RLK","leucine-rich repeat receptor protein kinase (LRR III subfamily)"
"AT5G41050","Unknown function","","expressed protein (Ole e1 allergen domain)"
"AT1G54020","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT5G59845","Miscellaneous","gibberellic acid-stimulated Arabidopsis (GASA) protein","gibberellic acid-stimulated Arabidopsis (AtGASA10) protein"
"AT3G07130","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP15)"
"AT4G29360","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT2G26730","Signaling","LRR-RLK","leucine-rich repeat receptor protein kinase"
"AT1G65900","Unknown function","","expressed protein"
"AT4G33220","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME44)"
"AT1G72230","Oxido-reductases","blue copper binding protein","uclacyanin AtUCC8 (blue copper binding protein)"
"AT3G12145","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","homologous to PGIP1 (LRR protein FLR1)"
"AT3G62750","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (beta-glucosidase) (AtBGLU8)"
"AT5G39280","Proteins acting on cell wall polysaccharides","expansin","alpha-expansin (ATHEXP ALPHA 1.17) (AtEXPA23)"
"AT4G12910","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL20) (Peptidase family S10.A11, MEROPS)"
"AT5G49180","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME58)"
"AT3G63470","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL40) (Peptidase family S10.A41, MEROPS)"
"AT1G77700","Miscellaneous","thaumatin","thaumatin (PR5)"
"AT3G14040","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT5G24780","Miscellaneous","","acid phosphatase (class B)"
"AT3G07390","Unknown function","","expressed protein (auxin-responsive protein AIR12) (DUF568)"
"AT1G31550","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT5G09730","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta-xylosidase) (AtBXL3, XYL3)"
"AT4G15750","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI-like)"
"AT3G13990","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS11, homologous to SKU5)"
"AT4G33355","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTP1.9, AtLTP11)"
"AT5G47350","Proteins related to lipid metabolism","","palmitoyl protein thioesterase"
"AT2G43050","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME16)"
"AT4G20430","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT2.2) (Peptidase family S08.A01, MEROPS)"
"AT5G67130","Proteins related to lipid metabolism","","expressed protein (phospholipase C, phosphatidylinositol-specific, X domain)"
"AT3G59510","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT4G02290","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 9 - GH9 (endo-1,3(4)-beta-glucanase)"
"AT5G04885","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3"
"AT5G42180","Oxido-reductases","class III peroxidase","peroxidase (AtPrx64)"
"AT4G21590","Proteins related to lipid metabolism","","phospholipase C/P1 nuclease"
"AT5G05390","Oxido-reductases","laccase","laccase (AtLAC11)"
"AT5G19740","Proteases","peptidase family M28","peptidase M28 (peptidase family M28.A02, MEROPS)"
"AT4G12960","Oxido-reductases","","thiol reductase (GILT family)"
"AT3G23450","Unknown function","","expressed protein"
"AT4G15210","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 14 - GH14"
"AT1G56100","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","pectin methylesterase inhibitor (PMEI)"
"AT2G38080","Oxido-reductases","laccase","laccase (AtLAC4, IRREGULAR XYLEM 12, IRX12)"
"AT3G28830","Unknown function","","expressed protein (DUF1216)"
"AT4G28250","Proteins acting on cell wall polysaccharides","expansin","beta-expansin (AtEXPB3)"
"AT4G12890","Oxido-reductases","","thiol reductase (GILT family)"
"AT1G57590","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE2)"
"AT2G29130","Oxido-reductases","laccase","laccase (AtLAC2)"
"AT3G20520","Proteins related to lipid metabolism","","glycerophosphoryl diester phosphodiesterase (GDPDL5, GPDL4)"
"AT5G03170","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA11)"
"AT2G04570","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G66850","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid-transfer protein (AtLTP2.5)"
"AT4G13710","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL25)"
"AT1G70710","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 9 - GH9 (endo-1,3(4)-beta-glucanase) (AtCEL1)"
"AT5G33370","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT5G51950","Oxido-reductases","","expressed protein (GMC oxido-reductase domain)"
"AT2G05790","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT2G44300","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPg14)"
"AT5G62210","Proteins related to lipid metabolism","","expressed protein (lipase/lipooxygenase domain, PLAT/LH2)"
"AT5G24770","Miscellaneous","","acid phosphatase (class B)"
"AT3G45010","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL48) (Peptidase family S10.A46, MEROPS)"
"AT4G19905","Miscellaneous","","Low-molecular-weight Cysteine-Rich protein (LCR38)"
"AT4G12870","Oxido-reductases","","thiol reductase (GILT family)"
"AT3G09410","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE5)"
"AT2G43610","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT4G11190","Miscellaneous","dirigent protein","dirigent protein (AtDIR13)"
"AT5G21090","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT5G08000","Proteins with interaction domains (with proteins or polysaccharides)","","expressed protein (X8 domain that may be involved in carbohydrate binding)"
"AT3G11780","Proteins related to lipid metabolism","","expressed protein (MD-2-related lipid-recognition (ML) domain)"
"AT5G15630","Signaling","COBRA-like","COBRA-like (AtCOBL4, IRX6, IRREGULAR XYLEM 6)"
"AT4G25000","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 13 - GH13 (alpha amylase)"
"AT4G30290","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (At-XTH19)"
"AT5G51480","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS2, homologous to SKU5)"
"AT4G21640","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT3.15) (Peptidase family S08.A42, MEROPS)"
"AT2G13820","Proteins related to lipid metabolism","lipid transfer protein (LTP)","non-specific lipid transfer protein (AtLTPg11)"
"AT2G12480","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL43) (Peptidase family S10.A33, MEROPS)"
"AT2G17230","Miscellaneous","","phosphate-induced (phi) protein 1"
"AT2G43535","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","inhibitor family I18 (family I18 unassigned peptidase inhibitor homologues, MEROPS) (ATTI4)"
"AT3G17520","Unknown function","","late embryogenesis abundant protein (LEA)"
"AT2G43580","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT2G06925","Proteins related to lipid metabolism","","phospholipase A2"
