text,category,value
Sample text 0,B,0.4687328445581821
Sample text 1,B,0.9112894137880434
Sample text 2,B,0.8626417672430695
Sample text 3,C,0.4878003862955669
Sample text 4,B,0.6845904807200669
Sample text 5,A,0.08339758200538228
Sample text 6,C,0.9099501461246607
Sample text 7,C,0.8344786196745665
Sample text 8,B,0.2866642639007828
Sample text 9,B,0.19222918619810914
Sample text 10,A,0.5488730352012763
Sample text 11,C,0.533292960393889
Sample text 12,A,0.33235556693458546
Sample text 13,A,0.1492371468307977
Sample text 14,B,0.9320500906024913
Sample text 15,B,0.7877758223511211
Sample text 16,B,0.008418113315488696
Sample text 17,C,0.09176265479176515
Sample text 18,A,0.3435775577140908
Sample text 19,C,0.18975265406269048
Sample text 20,A,0.6063936362406925
Sample text 21,A,0.7085157266778471
Sample text 22,A,0.7907920897581143
Sample text 23,C,0.03682527298805505
Sample text 24,C,0.45908883472133544
Sample text 25,C,0.5666254318523103
Sample text 26,C,0.08950519410110747
Sample text 27,A,0.7728130616015904
Sample text 28,A,0.09565437887903194
Sample text 29,C,0.3571160678598668
Sample text 30,C,0.8710907810267511
Sample text 31,C,0.22085782802067833
Sample text 32,B,0.16777660203742228
Sample text 33,A,0.5718499477812746
Sample text 34,A,0.929390531634662
Sample text 35,C,0.12952682371369972
Sample text 36,C,0.719647995432264
Sample text 37,C,0.9312856019293024
Sample text 38,B,0.6000801569022526
Sample text 39,A,0.47331744825756783
Sample text 40,C,0.8698018178335397
Sample text 41,B,0.9547591904862192
Sample text 42,B,0.4837696751058119
Sample text 43,C,0.6970893355455445
Sample text 44,B,0.8309554833692373
Sample text 45,C,0.08761075583722244
Sample text 46,C,0.19953805546469128
Sample text 47,A,0.562748255236391
Sample text 48,C,0.12843147316186332
Sample text 49,B,0.9881520780641877
Sample text 50,A,0.4434498250664536
Sample text 51,B,0.7259029644299597
Sample text 52,B,0.8685940292486666
Sample text 53,C,0.5617946336053781
Sample text 54,B,0.9534799637698076
Sample text 55,B,0.9067152701590966
Sample text 56,A,0.1062956742190343
Sample text 57,A,0.5606178838882371
Sample text 58,B,0.7367394460792788
Sample text 59,B,0.387594463707453
Sample text 60,A,0.45069351320704865
Sample text 61,C,0.9140719901609742
Sample text 62,C,0.8465264684181982
Sample text 63,A,0.2721804479412404
Sample text 64,A,0.08314158402103156
Sample text 65,B,0.4855875883567544
Sample text 66,A,0.4074291765835818
Sample text 67,A,0.4246582758164714
Sample text 68,C,0.17216006629848002
Sample text 69,A,0.915743410145814
Sample text 70,C,0.11481460781597963
Sample text 71,C,0.1577930344646289
Sample text 72,A,0.6725753122838852
Sample text 73,A,0.0727323402188379
Sample text 74,B,0.17283460759182845
Sample text 75,C,0.38700520435312047
Sample text 76,A,0.5437401960444784
Sample text 77,A,0.37866449726510554
Sample text 78,B,0.3358583534717271
