text,category,value
Sample text 0,B,0.5462330600341803
Sample text 1,B,0.8893918338779989
Sample text 2,B,0.4999338942201944
Sample text 3,C,0.8630841306552133
Sample text 4,A,0.07980917590334635
Sample text 5,C,0.9295988423398227
Sample text 6,A,0.9073396881380296
Sample text 7,B,0.9093387357554508
Sample text 8,A,0.3993419881147715
Sample text 9,C,0.8317750743203022
Sample text 10,C,0.6120006203246752
Sample text 11,B,0.05454135642634217
Sample text 12,B,0.5741342504789301
Sample text 13,B,0.1714981845017628
Sample text 14,B,0.17610905365840046
Sample text 15,A,0.5711275584647799
Sample text 16,B,0.2913142724904403
Sample text 17,A,0.015165716058707313
Sample text 18,C,0.9414694684208065
Sample text 19,C,0.6545900160359251
Sample text 20,B,0.07312877712286348
Sample text 21,A,0.2372108119480859
Sample text 22,B,0.47971898416058356
Sample text 23,A,0.5110503332063758
Sample text 24,A,0.3538607151771782
Sample text 25,B,0.9533623523231696
Sample text 26,B,0.8418237047291874
Sample text 27,A,0.3116834129447459
Sample text 28,B,0.07156729042835741
Sample text 29,A,0.944606738459242
Sample text 30,C,0.9916757418760599
Sample text 31,A,0.0446494709942562
Sample text 32,A,0.37149649361152404
Sample text 33,B,0.8593816331358548
Sample text 34,A,0.5785091901784607
Sample text 35,C,0.9515923235951878
Sample text 36,A,0.6791366587636458
Sample text 37,B,0.30915032791525743
Sample text 38,A,0.027606284191850072
Sample text 39,C,0.03572481582678688
Sample text 40,C,0.5659366475557144
Sample text 41,A,0.6594499968543449
Sample text 42,B,0.3835066958217883
Sample text 43,A,0.549376197644279
Sample text 44,B,0.6171723497707425
Sample text 45,A,0.8624011350923396
Sample text 46,B,0.006597425583944827
Sample text 47,C,0.9103177139452708
Sample text 48,C,0.8912228930308491
Sample text 49,C,0.8778027167416838
Sample text 50,B,0.6252032075394871
Sample text 51,A,0.6914041491261146
Sample text 52,B,0.46839973007845226
Sample text 53,C,0.7549662430854231
Sample text 54,C,0.8971994324160654
Sample text 55,A,0.7486943413340258
Sample text 56,C,0.45741571487163146
Sample text 57,A,0.30414846656345007
Sample text 58,B,0.13439317751096447
Sample text 59,A,0.7957759874166712
Sample text 60,C,0.676371689126803
Sample text 61,A,0.4054119379302713
Sample text 62,C,0.20469324155876145
Sample text 63,B,0.5350437755642033
Sample text 64,B,0.48208925561956684
Sample text 65,A,0.22132372473813744
Sample text 66,B,0.8697034513988782
Sample text 67,C,0.24548116896129857
Sample text 68,A,0.9298689550090256
Sample text 69,C,0.22208921713870056
Sample text 70,B,0.6029968556648143
Sample text 71,A,0.9008438401221002
Sample text 72,C,0.12892134652661713
Sample text 73,B,0.07423925488330863
Sample text 74,A,0.5633848865138207
Sample text 75,B,0.41511553534898404
Sample text 76,C,0.39659703987186234
Sample text 77,A,0.8432202202956894
Sample text 78,B,0.6070401565883449
Sample text 79,B,0.5691493905954731
Sample text 80,B,0.0698488551100428
Sample text 81,A,0.9138665952205622
Sample text 82,C,0.09437132978433027
Sample text 83,A,0.016305032465205427
Sample text 84,C,0.38489484827508447
Sample text 85,C,0.8894213933152937
Sample text 86,C,0.10579053514416148
Sample text 87,B,0.7643734649045149
Sample text 88,A,0.8090419223659876
Sample text 89,A,0.6674634931016774
Sample text 90,A,0.11842100540495903
Sample text 91,B,0.12656284909922766
Sample text 92,B,0.47959578554512405
Sample text 93,B,0.7267344712291649
Sample text 94,B,0.8431689259016633
Sample text 95,A,0.43527402640271795
Sample text 96,C,0.6259464020727764
Sample text 97,B,0.13223184812747335
Sample text 98,C,0.20052489519851457
Sample text 99,C,0.4537545384469619
Sample text 100,B,0.4984575524520515
