Counter_Group,Regex,Counter_Description
CxiPerfStats,^HNI_PKTS_SENT_BY_TC_\d+$,"Number of packets sent in traffic class <n>; 8 counters, default classes are 0 for request and 1 for response."
CxiPerfStats,^HNI_PKTS_RECV_BY_TC_\d+$,"Number of packets received in traffic class <n>; 8 counters, default classes are 0 for request and 1 for response."
CxiPerfStats,^HNI_TX_PAUSED_\d+$,Number of cycles in which the transmit path is paused for traffic class <n>; default classes are 0 for request and 1 for response. Indicates that this endpoint is supplying data faster than the network can deliver it. Divide by 1E9 to determine the proportion of time paused.
CxiPerfStats,^HNI_RX_PAUSED_\d+$,Number of cycles in which the pause is applied on the receive path for traffic class <n>; default classes are 0 for request and 1 for response. Indicates that the network is supplying data faster than this endpoint can consume it. Divide by 1E9 to determine the proportion of time paused.
CxiPerfStats,^PARBS_TARB_PI_POSTED_PKTS$,"Number of PCIe packets transferred using the posted path (for example, writes),"
CxiPerfStats,^PARBS_TARB_PI_POSTED_BLOCKED_CNT$,and the number of cycles in which this path is blocked. Compute the ratio cycles/pkts. Values of more than a few cycles per packet indicate back pressure from the host. This endpoint is likely to be the cause of congestion.
CxiPerfStats,^PARBS_TARB_PI_NON_POSTED_PKTS$,"Number of PCIe packets transferred using the non-posted path (for example,"
CxiPerfStats,^PARBS_TARB_PI_NON_POSTED_BLOCKED_CNT$,"reads), and the number of cycles in which this path is blocked. Compute the ratio cycles/pkts. Values of more than a few cycles per packet indicate per host performance (high read latencies). This endpoint is likely to be injecting at a low rate."
CxiPerfStats,^LPE_NET_MATCH_PRIORITY_\d+$,Number of messages matched on the priority list (or receive was posted before the message arrived). Four counters of which 0 is the default. These messages incur lower cost because data is written directly to the user buffer.
CxiPerfStats,^LPE_NET_MATCH_OVERFLOW_\d+$,Number of messages where payload data was delivered to a buffer on the overflow list because there was no match on the priority list. Four counters of which 0 is the default. These messages incur higher cost because data must be copied from the overflow buffer. Compute the ratio priority/(priority + overflow) to determine the porportion of messages for which receives were posted in advance.
