Phase,LEPR-sym,thermoengine-sym,,Data,Occurrence,Occur (correct),Extra,,,,,
Akermanite,aker,,,0,2,2,2,1,,,,
Akimotoite,ak,,,4,2,4,0,0,,,,
Allanite,all,,,4,3,4,0,0,,,,
Amphibole,amph,Amp,"Cam,Oam",364,709,709,345,0.486600846,x,,,
Anhydrite,anhy,,,0,8,8,8,1,,,,
AnhydrousPhaseB,anhyB,,,2,7,7,5,0.714285714,,,,
Anorthite,an,An,Fsp,81,60,81,0,0,,,,
Apatite,ap,,,51,105,105,54,0.514285714,,,,
Armalcolite,armc,,,2,6,6,4,0.666666667,,,,
Biotite,bi,Bt,,209,577,577,368,0.637781629,x,,,
Ca3Al10O18,c3a5,,,0,0,0,0,#DIV/0!,,,,
Ca3Al2O6,c3a,,,0,0,0,0,#DIV/0!,,,,
Ca3Al2SiO8,c3as,,,0,0,0,0,#DIV/0!,,,,
Ca3SiO5,c3s,,,0,0,0,0,#DIV/0!,,,,
Ca5Al6O14,c5a3,,,0,0,0,0,#DIV/0!,,,,
CaAl2O4,ca,,,0,0,0,0,#DIV/0!,,,,
CaAl2SiO6,cas,,,5,8,8,3,0.375,,,,
CaAl4O7,ca2,,,0,0,0,0,#DIV/0!,,,,
Calcium disilicate,c2s2,,,0,0,0,0,#DIV/0!,,,,
Calcium orthosilicate,ca2s,,,0,0,0,0,#DIV/0!,,,,
Calcium orthosilicate,c2s,,,0,0,0,0,#DIV/0!,,,,
Carbonate,carb,Cb,"Cal,Dol",17,23,23,6,0.260869565,,,,
Carbonate melt,liqc,Liqc,,9,12,12,3,0.25,,,,
Carnegieite,carn,,,107,107,107,0,0,,,,
CaSi perovskite,cpv,,,33,67,67,34,0.507462687,,,,
Chevkinite,chevk,,,3,24,24,21,0.875,,,,
Clay,clay,,,1,1,1,0,0,,,,
Clinohumite,chm,,,0,2,2,2,1,,,,
Clinopyroxene,cpx,Cpx,,2367,3585,3585,1218,0.339748954,x,,,
Coesite,coe,,,6,83,83,77,0.927710843,,,,
Cordierite,crd,Crd,,6,8,8,2,0.25,,,,
Corundum,cor,Crn,,107,118,118,11,0.093220339,,,,
Cristobalite,crst,,,41,41,41,0,0,,,,
Epidote,ep,,,0,53,53,53,1,,,,
Eskolaite,esk,Esk,,36,36,36,0,0,,,,
Ferrobustamite,fb,,,1,1,1,0,0,,,,
Ferropericlase,mw,,,35,57,57,22,0.385964912,,,,
Fluid,fl,H2O,,2941,2163,2941,0,0,,,,
Fluorite,flu,,,0,0,0,0,#DIV/0!,,,,
Garnet,gt,Grt,,1554,1786,1786,232,0.129899216,x,"Alm,Grs,Prp",,
Gehlenite,geh,,,0,0,0,0,#DIV/0!,,,,
Hauyne,ha,,,0,9,9,9,1,,,,
