Abbrev,ClassName,FormulaOveride
An,Anorthite,
Ab,Albite,
Spl,MgSpinel,Mg4Al8O16
Hc,Hercynite,Fe4Al8O16
Fo,Forsterite,
Fa,Fayalite,
MgWds,MgWadsleyite,
FeWds,FeWadsleyite,
MgRwd,MgRingwoodite,
FeRwd,FeRingwoodite,
En,Enstatite,Mg2Si2O6
Fs,Ferrosilite,Fe2Si2O6
MgTs,MgTschermaks,
oDi,OrthoDiopside,
Di,Diopside,
Hd,Hedenbergite,
cEn,Clinoenstatite,Mg2Si2O6
CaTs,CaTschermaks,
Jd,Jadeite,
hpcEn,MgHpCpx,Mg2Si2O6
hpcFs,FeHpCpx,Fe2Si2O6
CaPrv,CaPerovskite,
MgAki,MgAkimotoite,
FeAki,FeAkimotoite,
AlAki,AlAkimotoite,
Prp,Pyrope,
Alm,Almandine,
Grs,Grossular,
Maj,Majorite,
NaMaj,NaMajorite,
Qz,Quartz,
Coe,Coesite,
Sti,Stishovite,
Seif,Seifertite,
MgPrv,MgPerovskite,
FePrv,FePerovskite,
AlPrv,AlPerovskite,
MgPpv,MgPostPerovskite,
FePpv,FePostPerovskite,
AlPpv,AlPostPerovskite,
Per,Periclase,
Wus,Wuestite,
MgCf,MgCF,
FeCf,FeCF,
NaCf,NaCF,
Ky,Kyanite,
Nph,Nepheline,
