id,ward,district,ward_id,dist_id,rhealpix,isea4t,isea3h,ease,s2,olc,geohash,qtm,georef,tilecode,mgrs,maidenhead,quadkey,h3,gars
1,Ward 5,District 3,"77027151","770",R31260361731,"1310231333101032203131021002","132022628,-1037",L1.165767.02,31752f231,7P28QMCP+M7F,w3gv78yjs,"42012323103132022",VGBL41144630,z20x835032y492726,48PXS89,OK30is25,"13223011130131231220302",8b65b56638aafff,574JK1917
2,Ward 2,District 3,"77027157","770",R31260364035,"1310231333101002023110233100","132022623,-1041",L1.165767.02,31752f1f5,7P28QM9J+2M6,w3gv785jq,"42012323103123330",VGBL40894605,z20x835020y492739,48PXS89,OK30is14,"13223011130133001122110",8b65b5663845fff,574JK1916
3,Ward 4,District 3,"77027148","770",R31260361377,"1310231333101123312323031101","132022630,-1039",L1.165767.02,31752f23f,7P28QMFM+F5J,w3gv79k17,"42012323103101031",VGBL40974642,z20x835024y492720,48PXS89,OK30is15,"13223011130131230000213",8b65b566312bfff,574JK1916
4,Ward 3,District 3,"77027154","770",R31260360881,"1310231333101020233133102030","132022625,-1042",L1.165767.02,31752f21b,7P28QMCH+4QG,w3gv789te,"42012323103123313",VGBL40764621,z20x835014y492730,48PXS89,OK30is14,"13223011130131222130231",8b65b5663b85fff,574JK1916
5,Ward 10,District 3,"77027145","770",R31260336867,"1310231333123303232131322133","132022636,-1044",L1.165767.02,31752f283,7P28QMJG+GJ3,w3gv76xmr,"42012323103100021",VGBL40594687,z20x835005y492698,48PXS89,OK30is17,"13223011130130133121131",8b65b566376efff,574JK1916
6,Ward 9,District 3,"77027142","770",R31260336858,"1310231333123331003033332003","132022638,-1041",L1.165767.02,31752f291,7P28QMMJ+326,w3gv7dfj8,"42012323103100033",VGBL40804695,z20x835016y492694,48PXS89,OK30is17,"13223011130131021220002",8b65b5663700fff,574JK1916
7,Ward 11,District 3,"77027133","770",R31260336380,"1310231333123320012120213112","132022640,-1049",L1.165767.02,31752ed3f,7P28QMPC+G2Q,w3gv77dfc,"42012323103102013",VGBL40204717,z20x834987y492683,48PXS89,OK30is08,"13223011130130103033021",8b65b5645833fff,574JK1911
8,Ward 13,District 3,"77027136","770",R31260336574,"1310231333123332311211211120","132022641,-1043",L1.165767.02,31752f2a3,7P28QMPH+C8F,w3gv7e8c2,"42012323103103202",VGBL40694716,z20x835011y492684,48PXS89,OK30is18,"13223011130131002211002",8b65b5663611fff,574JK1911
9,Ward 12,District 3,"77027130","770",R31260336418,"1310231333123323301101031312","132022643,-1047",L1.165767.02,31752ed51,7P28QMQF+7HJ,w3gv77vtc,"42012323103102330",VGBL40434729,z20x834998y492677,48PXS89,OK30is09,"13223011130130110312203",8b65b56636cbfff,574JK1911
10,Ward 14,District 3,"77027127","770",R31260336521,"1310231333023330101121301202","132022645,-1042",L1.165767.02,31752f2b1,7P28QMQH+GRM,w3gv7s19t,"42012323103113232",VGBL40774733,z20x835014y492675,48PXS89,OK30is19,"13223011130131000132321",8b65b5663695fff,574JK1911
11,Vo Thi Sau Ward,District 3,"77027139","770",R31260337753,"1310231333132220002032120220","132022641,-1035",L1.165767.02,31752f31f,7P28QMMQ+69Q,w3gv7g00j,"42012323103131122",VGBL41304698,z20x835040y492692,48PXS89,OK30is27,"13223011130131120200323",8b65b5663518fff,574JK1917
12,Ward 1,District 3,"77027160","770",R31260363208,"1310231333101213000203302230","132022623,-1044",L1.165767.02,31752f1ff,7P28QM9G+8W2,w3gv78218,"42012323103123013",VGBL40634609,z20x835008y492736,48PXS89,OK30is14,"13223011130133000000222",8b65b5663a24fff,574JK1916
