Abbrev,Name,Formula,Parent
Acm,Acmite,NaFeSi2O6,
Aeg,Aegirine,NaFeSi2O6,
Aeng,Aenigmatite,Na2Fe5TiSi6O20,
Ak,Akermanite,Ca2MgSi2O7,
lAk,Akermanite (low),Ca2MgSi2O7,
hAk,Akermanite (high),Ca2MgSi2O7,
MgAki,Mg-Akimotoite,MgSiO3,AkiS
FeAki,Fe-Akimotoite,FeSiO3,AkiS
AlAki,Al-Akimotoite,Al2O3,AkiS
Afchl,Al_Free_Chlorite,Mg6Si4O18H8,
Ab,Albite,NaAlSi3O8,
lAb,Albite (low),NaAlSi3O8,
hAb,Albite (high),NaAlSi3O8,
Alm,Almandine,Fe3Al2Si3O12,
Abfn,Alumino-Buffonite,CaTi0.5Mg0.5AlSiO6,
Ame,Amesite,Mg4Al4Si2O18H8,
Anl,Analcime,NaAlSi2O5(OH)2,
And,Andalusite,Al2SiO5,
Adr,Andradite,Ca3Fe2Si3O12,
Ank,Ankerite,CaFeO6C2,
Ann,Annite,KFe3Si3AlO10(OH)2,
An,Anorthite,CaAl2Si2O8,
Ath,Anthophyllite,Mg7Si8O22(OH)2,
Atg,Antigorite,Mg3Si2O5(OH)4,
Ap,Apatite,Ca5(PO4)3OH,
Arg,Aragonite,CaCO3,
Bdy,Baddeleyite,ZrO2,
Brc,Brucite,Mg(OH)2,
Bfn,Buffonite,CaTi0.5Mg0.5FeSiO6,
MgCf,Mg-Ca-Ferrite,MgAl2O4,
FeCf,Fe-Ca-Ferrite,FeAl2O4,
NaCf,Na-Ca-Ferrite,NaAlSiO4,
CaTs,Calcium Tschermak's Pyroxene,CaAl2SiO6,
Cal,Calcite,CaCO3,
Cel,Celadonite,KMgAlSi4O12H2,
Chr,Chromite,FeCr2O4,
Ctl,Chrysotile,Mg3Si2O5(OH)4,
Clc,Clinochlore,Mg5Al(AlSi3O10)(OH)8,
cEn,Clinoenstatite,MgSiO3,
hpcEn,Clinoenstatite (high-pressure),MgSiO3,
cFs,Clinoferrosilite,FeSiO3,
hpcFs,Clinoferrosilite (high-pressure),FeSiO3,
Chu,Clinohumite,Mg9Si4O18H2,
cZo,Clinozoisite,Ca2Al3Si3O12(OH) ,
CoOl,Co-Olivine,Co2SiO4,
Coe,Coesite,SiO2,
Crd,Cordierite,Mg2Al4Si5O18,
Crn,Corundum,Al2O3,
Crs,Cristobalite,SiO2,
aCrs,Cristobalite (alpha),SiO2,
bCrs,Cristobalite (beta),SiO2,
