"Dataset","DataType","Dimensions","Features","Samples","Missing","Length","N_Unique"
"Altitude_Cluster","Matrix/DataFrame","30 x 1",1,30,0,NA,NA
"Ecotype","Vector",NA,NA,NA,0,30,5
"Genetic_Cluster","Matrix/DataFrame","30 x 1",1,30,0,NA,NA
"Metabolomics_Rosettes","Matrix/DataFrame","30 x 6",6,30,0,NA,NA
"Metabolomics_Stems","Matrix/DataFrame","30 x 6",6,30,0,NA,NA
"Metadata","Matrix/DataFrame","474 x 4",4,474,0,NA,NA
"Phenomics_Rosettes","Matrix/DataFrame","30 x 5",5,30,0,NA,NA
"Proteomics_Rosettes_CW","Matrix/DataFrame","30 x 364",364,30,0,NA,NA
"Transcriptomics_Rosettes","Matrix/DataFrame","30 x 19763",19763,30,0,NA,NA
"Transcriptomics_Rosettes_CW","Matrix/DataFrame","30 x 364",364,30,0,NA,NA
"Transcriptomics_Stems","Matrix/DataFrame","30 x 22570",22570,30,0,NA,NA
"Transcriptomics_Stems_CW","Matrix/DataFrame","30 x 414",414,30,0,NA,NA
