ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
32411	32411	0	0
32411	32413	2	2
32411	32412	1	1
32577	32411	1	1
32411	32412	1	1
32412	32413	1	1
32412	32412	0	0
32577	32412	2	2
32411	32413	2	2
32412	32413	1	1
32413	32413	0	0
32577	32413	3	3
32414	32414	0	0
32577	32414	2	3
33005	32414	2	2
38004469	32414	1	1
32415	32415	0	0
32577	32415	2	2
45756783	32415	1	1
722461	722461	0	0
722462	722462	0	0
715754	715754	0	0
21604847	715754	4	4
21604927	715754	3	3
21604939	715754	2	2
21604958	715754	1	1
715755	715755	0	0
21601386	715755	4	4
21601387	715755	3	3
21601388	715755	2	2
21601406	715755	1	1
715756	715756	0	0
21603550	715756	4	4
21603551	715756	3	3
21603552	715756	2	2
21603553	715756	1	1
715757	715757	0	0
21604180	715757	4	4
21604489	715757	3	3
21604606	715757	2	2
21604635	715757	1	1
704985	704985	0	0
36769180	704985	1	1
704986	704986	0	0
36769180	704986	1	1
706000	706000	0	0
36768664	706000	1	1
756265	756265	0	0
756266	756265	1	2
756267	756265	1	2
756268	756265	1	2
756269	756265	1	2
756270	756265	1	2
756271	756265	1	2
756272	756265	1	2
756273	756265	1	2
756274	756265	1	2
756275	756265	1	2
756276	756265	1	2
756277	756265	1	2
756278	756265	1	2
756279	756265	1	2
756280	756265	1	2
756281	756265	1	2
756282	756265	1	2
756283	756265	1	2
756284	756265	1	2
756285	756265	1	2
756286	756265	1	2
756287	756265	1	2
756288	756265	1	2
756289	756265	1	2
756290	756265	1	1
756291	756265	1	2
756292	756265	1	2
756293	756265	1	1
756294	756265	1	2
756295	756265	1	2
756296	756265	1	2
756297	756265	1	2
756298	756265	1	2
756299	756265	1	1
756300	756265	1	2
756301	756265	1	1
756302	756265	1	1
756303	756265	1	2
756304	756265	1	2
756305	756265	1	2
756306	756265	1	2
756307	756265	1	2
756308	756265	1	1
756309	756265	1	2
756310	756265	1	2
756311	756265	1	2
756312	756265	1	2
756313	756265	1	2
756314	756265	1	2
756315	756265	1	2
756316	756265	1	2
756317	756265	1	2
756318	756265	1	2
756319	756265	1	2
756320	756265	1	2
756321	756265	1	1
756322	756265	1	1
756323	756265	1	2
756324	756265	1	2
756325	756265	1	2
756326	756265	1	2
756327	756265	1	2
756328	756265	1	2
756329	756265	1	2
756330	756265	1	2
756331	756265	1	2
756332	756265	1	2
756333	756265	1	2
756334	756265	1	2
756335	756265	1	2
756336	756265	1	2
756337	756265	1	2
756338	756265	1	2
756339	756265	1	2
756340	756265	1	2
756341	756265	1	2
756342	756265	1	2
756343	756265	1	2
756344	756265	1	2
756345	756265	1	2
756346	756265	1	3
756347	756265	1	3
756348	756265	1	3
798878	756265	1	1
798879	756265	2	2
798880	756265	2	2
798881	756265	2	2
798882	756265	2	2
798883	756265	2	2
798884	756265	2	2
798885	756265	2	2
798886	756265	2	2
798887	756265	2	2
798888	756265	2	2
798889	756265	2	2
798890	756265	2	2
798891	756265	2	2
798892	756265	2	2
902377	756265	1	1
902378	756265	1	1
902379	756265	1	2
902380	756265	1	2
902381	756265	1	2
902382	756265	1	2
902383	756265	1	2
902384	756265	1	2
902385	756265	1	2
902386	756265	1	2
902387	756265	1	2
902388	756265	1	2
902390	756265	1	1
902391	756265	1	1
902392	756265	1	1
902393	756265	1	1
902395	756265	1	2
902396	756265	1	2
902401	756265	1	2
902402	756265	1	2
902403	756265	1	2
902404	756265	1	2
1146945	756265	1	2
1146946	756265	1	2
1146947	756265	1	2
1146948	756265	1	2
1146949	756265	1	2
1146950	756265	1	2
1146951	756265	1	2
1146952	756265	1	2
1146953	756265	1	2
1146954	756265	1	2
1146955	756265	1	2
1146956	756265	1	2
1146959	756265	1	2
1146960	756265	1	2
1146961	756265	1	2
1146962	756265	1	2
1146963	756265	1	2
1146964	756265	1	2
1146965	756265	1	2
1146966	756265	1	2
1146967	756265	1	2
1146968	756265	1	2
1146969	756265	1	2
1146970	756265	1	2
1146971	756265	1	2
1146972	756265	1	2
1146973	756265	1	2
1146974	756265	1	2
1146975	756265	1	2
1146976	756265	1	2
1146977	756265	1	2
1146978	756265	1	2
1146979	756265	1	2
1146980	756265	1	2
1146981	756265	1	2
1146982	756265	1	2
1146983	756265	1	2
1146984	756265	1	2
1146985	756265	1	2
1146986	756265	1	2
1146987	756265	1	2
1146988	756265	1	2
1146989	756265	1	2
1146990	756265	1	2
1146991	756265	1	2
1146992	756265	1	2
1146993	756265	1	2
1146994	756265	1	2
1146995	756265	1	2
1146996	756265	1	2
1146997	756265	1	2
1146998	756265	1	2
1146999	756265	1	2
1147004	756265	1	2
1147005	756265	1	2
1147006	756265	1	2
1147007	756265	1	2
1147008	756265	1	2
1147009	756265	1	2
1147010	756265	1	2
1147016	756265	1	2
1147019	756265	1	2
1147020	756265	1	2
1147021	756265	1	2
