Abbrev,ClassName,FormulaOveride
Ak,Akermanite,
Alm,Almandine,
And,Andalusite,
Andr,Andradite,
Chum,Clinohumite,
Cz,Clinozoisite,
Crd,Cordierite,
Ep,Epidote,
Fa,Fayalite,
Fctd,Fe_Chloritoid,
Fcrd,Fe_Cordierite,
Fep,Fe_Epidote,
Fosm,Fe_Osumilite,
Fst,Fe_Staurolite,
Fo,Forsterite,
Geh,Gehlenite,
Gr,Grossular,
Hcrd,Hydrous_Cordierite,
Tpz,Hydroxy_Topaz,
Ky,Kyanite,
Larn,Larnite_Bredigite,
Law,Lawsonite,
Merw,Merwinite,
Mctd,Mg_Chloritoid,
Mst,Mg_Staurolite,
Mnctd,Mn_Chloritoid,
Mncrd,Mn_Cordierite,
Mnst,Mn_Staurolite,
Mont,Monticellite,
Osm1,Osumilite_1,
Osm2,Osumilite_2,
PhA,Phase_A,
Pump,Pumpellyite,
Py,Pyrope,
Rnk,Rankinite,
Sill,Sillimanite,
Spes,Spessartine,
Sph,Sphene,
Spu,Spurrite,
Teph,Tephroite,
Ty,Tilleyite,
Vsv,Vesuvianite,
Zrc,Zircon,
Zo,Zoisite,
Acm,Acmite,
Cats,Ca_Tschermak_Pyroxene,
Di,Diopside,
En,Enstatite,
Fs,Ferrosilite,
Hed,Hedenbergite,
Jd,Jadeite,
Mgts,Mg_Tschermak_Pyroxene,
Pswo,Pseudowollastonite,
Pxmn,Pyroxmangite,
Rhod,Rhodonite,
Wo,Wollastonite,
Anth,Anthophyllite,
Cumm,Cummingtonite,
Fanth,Fe_Anthophyllite,
Fgl,Fe_Glaucophane,
Fact,Ferroactinolite,
Ged,Gedrite,
Gl,Glaucophane,
Grun,Grunerite,
Parg,Pargasite,
Rieb,Riebeckite,
Tr,Tremolite,
Ts,Tschermakite,
Deer,Deerite,
Fcar,Fe_Carpholite,
Fspr,Fe_Sapphirine,
Mcar,Mg_Carpholite,
Spr4,Sapphirine_442,
Spr7,Sapphirine_793,
Ann,Annite,
Cel,Celadonite,
East,Eastonite,
Fcel,Fe_Celadonite,
Ma,Margarite,
Mnbi,Mn_Biotite,
Mu,Muscovite,
Naph,Na_Phlogopite,
Pa,Paragonite,
Phl,Phlogopite,
Afchl,Al_Free_Chlorite,
Ames,Amesite,
Clin,Clinochlore,
Daph,Daphnite,
Fsud,Fe_Sudoite,
Mnchl,Mn_Chlorite,
Sud,Sudoite,
Atg,Antigorite,
Chr,Chrysotile,
Fta,Fe_Talc,
Kao,Kaolinite,
Pre,Prehnite,
Prl,Pyrophyllite,
Ta,Talc,
Tats,Tschermak_Talc,
Ab,Albite,
Anl,Analcite,
An,Anorthite,
Coe,Coesite,
Crst,Cristobalite,
Heu,Heulandite,
Abh,High_Albite,
Kals,Kalsilite,
Lmt,Laumontite,
Lc,Leucite,
Me,Meionite,
Mic,Microcline,
Ne,Nepheline,
Q,Quartz,
San,Sanidine,
Stlb,Stilbite,
Stv,Stishovite,
Trd,Tridymite,
Wrk,Wairakite,
Bdy,Baddeleyite,
Cor,Corundum,
Geik,Geikielite,
Hem,Hematite,
Herc,Hercynite,
Ilm,Ilmenite,
Lime,Lime,
Mft,Magnesioferrite,
Mt,Magnetite,
Mang,Manganosite,
NiO,Nickel_Oxide,
Per,Periclase,
Pnt,Pyrophanite,
Ru,Rutile,
Sp,Spinel,
Usp,Ulvospinel,
Br,Brucite,
Dsp,Diaspore,
Gth,Goethite,
Ank,Ankerite,
Arag,Aragonite,
Cc,Calcite,
Dol,Dolomite,
Mag,Magnesite,
Rhc,Rhodochrosite,
Sid,Siderite,
Hal,Halite,
Syl,Sylvite,
Diam,Diamond,
Gph,Graphite,
Iron,Iron,
Ni,Nickel,
CO2,Carbon_Dioxide,
CO,Carbon_Monoxide,
H2,Hydrogen,
CH4,Methane,
O2,Oxygen,
H2O,Water_Fluid,
AbL,Albite_Liquid,
AnL,Anorthite_Liquid,
DiL,Diopside_Liquid,
EnL,Enstatite_Liquid,
FaL,Fayalite_Liquid,
FoL,Forsterite_Liquid,
H2oL,H2O_Liquid,
HalL,Halite_Liquid,
KspL,K_Feldspar_Liquid,
QL,Silica_Liquid,
SilL,Sillimanite_Liquid,
SylL,Sylvite_Liquid,
