,ifc_class,bdns_options,bdns_core,bdns_core_suggested
0,IfcHeatExchanger,HX - heat exchanger,HX,
1,IfcCoolingTower,CT - chiller - cooling tower,CT,
2,IfcDistributionElement,CIP - lightning protection - concrete inspection pit,CIP,
3,IfcBurner,FR - burner - furnace,FR,
4,IfcBoiler,BLR - burner - boiler,BLR,
5,IfcAirTerminalBox,"FPB - air terminal box - fan powered box
UFT - air terminal box - under floor variable air volume box
VAV - air terminal box - variable air volume box
VAVE - air terminal box - variable air volume box - extract
VAVS - air terminal box - variable air volume box - supply
VVTB - air terminal box - variable volume and temperature box
VVT - air terminal box - variable volume terminal unit
KVVC - kitchen ventilation - ventilated ceiling",,
6,IfcDamper,"DMP - damper
EXD - damper - exhaust damper
IISD - damper - inlet isolation damper
MD - damper - motorised damper",,DMP
7,IfcCableSegment,"DCA - distribution data - data cable
CA - distribution electric - cable
FCA - distribution electric - fire rated cable
TR - lighting - track - electric track for lights
EBA - lightning protection - earthing bar
ERO - lightning protection - earthing rod
ETA - lightning protection - earthing tape",,CA
8,IfcController,"RFIDC - access control - RFID controller
CNTRL - controller
IRRC - controller - irrigation controller
ROC - controller - room controller
PVDAS - pv data acquisition system
PVMC - pv microgrid controller
PVMLPE - pv module-level power electronics
SDC - shading - shading device controller",,CNTRL
9,IfcSensor,"HDS - fire detection - hydrogen detector
GLYPR - sensor - glycol protector sensor
IMUS - sensor - inertial measurement unit sensor
LDS - sensor - leak detection sensor
LVLS - sensor - level sensor
LTMTS - sensor - lighting multisensor
MCS - sensor - moisture content sensor
MTS - sensor - multi sensor
NDS - sensor - nitrogen dioxide sensor
PMS - sensor - particulate matter sensor
PCS - sensor - people counting sensor
SSS - sensor - seismic sensor
VS - sensor - velocity sensor
VBS - sensor - vibration sensor",,
10,IfcCompressor,"CMP - compressor
ACP - compressor - air compressor",,CMP
11,IfcCoil,COIL - coil,COIL,
12,IfcCommunicationsAppliance,"DPU - data processing unit / computer
HMI - human machine interface
IDF - ict equipment - intermediate distribution frame
SRV - ict equipment - multi-purpose server
NAM - ict equipment - network access manager
NMS - ict equipment - network monitoring system
PDUIPD - ict equipment - pdu ip dongle
POEETS - ict equipment - power-over-ethernet network switch
SDNC - ict equipment - software-defined networking controller
UPSMS - ict equipment - ups management system
LBCN - location services - beacon",,
13,IfcSwitchingDevice,"AIC - access control - audio intercom
VIC - access control - video intercom
STS - electric distribution - static transfer switch
HTCO - electric protective device - high temperature cut out switch
IFU - fire detection - input output interface unit
FMO - fire suppression - firemans override switch
FS - fire suppression - sprinkler flow switch
LSW - lighting - control - switch
APSW - switch - absolute pressure
DEWSW - switch - dew point
DPSW - switch - differential pressure
SPSW - switch - static pressure
TDSW - switch - thermal dispersion flow proving switch",,
14,IfcFlowTerminal,"CKCGR - cooking appliance - chargrill
CKGRCK - cooking appliance - gas range
CKGWR - cooking appliance - gas wok range",,
15,IfcCooledBeam,CHB - radiant surface - chilled beam,CHB,
16,IfcLightFixture,"LT - lighting - fixture
DL - lighting - fixture - downlight
EL - lighting - fixture - standalone emergency light
UL - lighting - fixture - uplight
WL - lighting - fixture - wall light
LBO - lighting - fixture external - bollard
LPO - lighting - fixture external - lampost",,LT
17,IfcInterceptor,SSP - sand separator,SSP,
18,IfcCondenser,CDU - condensing unit,CDU,
19,IfcHumidifier,HUM - humidifier,HUM,
20,IfcWasteTerminal,"BVKOC - beverage machine - knock out chute
AD - waste terminal - area drain",,
21,IfcFastener,"CIS - lightning protection - cast-in-socket
ECL - lightning protection - earthing clamp",,
22,IfcChiller,"CH - chiller
CCCH - chiller - critical cooling chiller
HTCH - chiller - high temperature chiller
LTCH - chiller - low temperature chiller",,CH
23,IfcDuctSilencer,SLCR - duct silencer - attenuator,SLCR,
24,IfcElectricAppliance,"BVAP - beverage machine - airpot
BVC - beverage machine - chai machine
BVCFMG - beverage machine - coffee grinder
BVCFM - beverage machine - coffee machine
BVCFMN - beverage machine - coffee nitro machine
BVCFMU - beverage machine - coffee urn
BVCFME - beverage machine - espresso machine
BVS - beverage machine - steamer
FCSD - cleaning - floor cleaner scrubber dryer
CKBP - cooking appliance - bratt pan
CKDSTE - cooking appliance - dim sum steamer
CKGRD - cooking appliance - griddle
CKKET - cooking appliance - kettle
CKPBP - cooking appliance - pressure bratt pan
CKPSTE - cooking appliance - pressure steamer
CKROT - cooking appliance - rotisserie
CKSTE - cooking appliance - steamer
DISP - dispenser
DISPB - dispenser - broth
DISPC - dispenser - cereal
DISPIB - dispenser - ice/beverage
DISPJ - dispenser - juice
DISPMK - dispenser - milk
DISPIC - dispenser - soft serve ice cream
DISPW - dispenser - water
ELOCK - door - electric lock
EMDH - door - electromagnetic door holder
LLOCK - door - latch lock
MLOCK - door - magnetic lock
EAPPL - electric appliance
ADY - electric appliance - air dryer
EPOS - electric appliance - electronic point of sale
GYMEQ - electric appliance - exercise / gym equipment
FOODEQ - electric appliance - food equipment
HDY - electric appliance - hand dryer
STE - electric appliance - steamer
ETCFP - employee timeclock with fingerprint scanner
FSCPL - food serving - cold plate
FSCWL - food serving - cold well
FSHCPL - food serving - hot and cold plate
FSHCWL - food serving - hot and cold well
FSHPL - food serving - hot plate
FSHWL - food serving - hot well
FSICD - food serving - ice cream display
FSIWL - food serving - ice well
FSIW - food serving - induction warmer
FSSWL - food serving - soup well
KSTCH - furniture - commercial kitchen storage cabinet heated
KSMBL - kitchen appliance - blender/smoothie maker
KBBL - kitchen appliance - bowl blender
KBC - kitchen appliance - bowl cutter
KCO - kitchen appliance - can opener
KCWM - kitchen appliance - crepe and waffle maker
KCDY - kitchen appliance - cutlery dryer
KDR - kitchen appliance - dough divider/rounder
KDPR - kitchen appliance - dough press
KICT - kitchen appliance - insect trap
KJC - kitchen appliance - juicer
KMBS - kitchen appliance - meat bone saw
KMM - kitchen appliance - meat mincer
KMS - kitchen appliance - meat slicer
KMIX - kitchen appliance - mixer
KPM - kitchen appliance - pacotizing machine
KPPM - kitchen appliance - potato peeling machine
KFS - kitchen appliance - scale
KSBL - kitchen appliance - stick blender
KTST - kitchen appliance - toaster
KUVSC - kitchen appliance - uv knife steralizer
KVPM - kitchen appliance - vacuum packing machine
KVCM - kitchen appliance - veg cutting machine
KVWM - kitchen appliance - vegetable washer
KVW - kitchen appliance - vegetable washer and dryer
IM - refrigeration - ice maker
WSTFD - waste management - food dehydrator
WSTC - waste management - waste compactor
WSTWG - waste management - wet waste grinder
IWH - water heater - instantaneous water heater",,
